Date/Time,Media Description,Media Link
"You uploaded a feed document on July 17, 2025 at 4:25 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQGHI8CbgU12iA/feedshare-document-url-metadata-scrapper-pdf/B4EZgZNJ0JGYA0-/0/1752769537732?e=1767160800&v=beta&t=1DfEiSNKjV65JAPJY8kGeBpsIgstBknxT_zPIVXxpSk
"You uploaded a feed document on July 15, 2025 at 8:34 PM (GMT)","Most people think statistics is about complicated math. It?s not.

It?s about making smarter decisions with data?and if you?re not comfortable with these 6 tools, you?re flying blind.

You don?t need to love statistics. You just need to know enough to make smart calls.

Which of these tools do you use the most?
",https://media.licdn.com/dms/document/media/v2/D4E1FAQHilsmZFR4CXg/feedshare-document-sanitized-pdf/B4EZgPzAYfHoBc-/0/1752611692706?e=1767160800&v=beta&t=pGQyIZCHpAgqDtYxj5ofmkW0MBW-Yd4zk22vzzAkF70
"You uploaded a feed document on July 10, 2025 at 4:49 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4D1FAQE4RZcVRn6V_Q/feedshare-document-chunked-pdf/B4DZf1PZRFGsBo-/0/1752166145421?e=1767160800&v=beta&t=N9c2Qyjo0udcpsmaMugGbxT01Px6xBUe5ayHcJOcFD0
"You uploaded a feed document on July 10, 2025 at 4:43 PM (GMT)","How random are the numbers we use in computers?
Spoiler: they?re not truly random ? they?re pseudo-random.

But they?re good enough for most things ? simulations, games, machine learning, cryptography (with caveats).

P.S. Follow me if you want to know more about python, analytics and automation ? ",https://media.licdn.com/dms/document/media/v2/D4D1FAQH_S7ySSsNWCQ/feedshare-document-sanitized-pdf/B4DZf1OI6xGYBA-/0/1752165816108?e=1767160800&v=beta&t=Z-3OOyBphC6tgAd3mkTM_bwegZyRqWMF1P2A27TDq2c
"You uploaded a feed document on June 23, 2025 at 3:53 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQEd-A4Bd86AlQ/feedshare-document-sanitized-pdf/B4EZedfr52G4A8-/0/1750694021942?e=1767160800&v=beta&t=QjtGwDlxBRTsbSOT6hIyIoiSj_gHSFhDLbcXCbw8x0w
"You uploaded a feed document on June 23, 2025 at 3:52 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQHOoWMN2AUqJQ/feedshare-document-sanitized-pdf/B4EZedffJ.GwA8-/0/1750693970365?e=1767160800&v=beta&t=OlKDshu1d1f0xGb-SuVQ3gTjRbGm87hZKdETQrxN8_o
"You uploaded a feed document on June 23, 2025 at 3:50 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQF_ugJHZswRYQ/feedshare-document-sanitized-pdf/B4EZede5Z7HwA8-/0/1750693816805?e=1767160800&v=beta&t=AVsNKPOOyf2GHidW6yXZEFuyr7zeP88A1UqAcs3bFKI
"You uploaded a feed document on June 23, 2025 at 3:47 PM (GMT)","If you?re learning Python, clearer error messages make all the difference ? they?re more than just syntax alerts. Each release (from 3.10 through 3.14) keeps improving them: smarter typo hints, missing-argument names, colorized tracebacks ? debugging is much more approachable and gentle for beginners nowadays. So yeah, the best time to start programming, every?day,?is?today!

#Python #Coding?",https://media.licdn.com/dms/document/media/v2/D4E1FAQElrTqznHsoBQ/feedshare-document-sanitized-pdf/B4EZedeTWyHsA8-/0/1750693660959?e=1767160800&v=beta&t=WAoFxuZTRtjtIEsWqV2n4BXdplNKrkAqYtfzkUHfJP4
"You uploaded a feed document on June 18, 2025 at 5:00 PM (GMT)","One of the most unusual features of Excel is its support for writing formulas in multiple languages.

For some, this is one of the most nerve-wracking features ? since maintaining Excel sheets in different languages is way too confusing. And even though Excel will attempt to automatically translate the formulas to your default installation language, it won't be perfect ? especially when copy-pasting parts of a workbook in a different language.

If you ever run into this issue, be aware that there is a ""Functions Translator"" add-in in Excel that helps you with the formula translation and even provides a reference of the formula names in other languages.

I can see how Microsoft has tried its best to provide support for all languages possible. But honestly, it's unusual to have this multilingual support in formulas.

Why can't it be like programming languages?

What do you think? ?

#Excel #MicrosoftExcel #ExcelFunctions",https://media.licdn.com/dms/document/media/v2/D4E1FAQGr1lT4MhwN3w/feedshare-document-sanitized-pdf/B4EZeD_INoH0BA-/0/1750266055820?e=1767160800&v=beta&t=Y8-HOa_JeeOqE7CL7uxy_KAKOPrg54TECiFMy_CzoLk
"You uploaded a feed document on June 18, 2025 at 4:47 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQG0CrCFlm0PMg/feedshare-document-chunked-pdf/B4EZeD8CSgHcB0-/0/1750265245473?e=1767160800&v=beta&t=stxontQSkU1qu1wKfW5RqO0fgsu-ZC771rS85oDKjTs
"You uploaded a video on November 25, 2024 at 6:59 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQFh-zGyNhUkSw/BAQmYKjaNE?e=1767160800&v=beta&t=VWxnAXhQiXT_0Ww-dG6P7OLaU9JMBT3YMtXtbVvtCL8
"You uploaded a feed document on November 11, 2024 at 5:23 PM (GMT)","Calculating a percentile X, based on two other percentiles for a lognormal distribution, sounds familiar?

That's right, in reserves estimation, when we have any two rough estimates of high / low / medium reserves values, and you need to estimate the unknown one (if you don't have a full probabilistic run at hand of course).

Here is a deep dive on calculating it in #Python using only #scipy and #numpy. Beyond the reserves estimation application itself, it is an interesting topic to understand a bit more about distributions and revisit some university topics ?

Also, here is the link to the notebook version: https://lnkd.in/esPhRWaX

- psst, you can run it in your browser if you use #codespaces without installing anything, the repo already has the #devcontainer in it.

Have you done this before, and if so, what did you use to calculate the unknown percentile? Let me know in the comments ?",https://media.licdn.com/dms/document/media/v2/D4E1FAQGNduecpYm1mQ/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1731345820226?e=1767160800&v=beta&t=Xy015WXvgWdBG-hx90vsIby5sdXdNXB_AqYCFygjFFw
"You uploaded a feed document on July 25, 2024 at 7:35 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4D1FAQEinZ2CLlRfOA/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1721936112106?e=1767160800&v=beta&t=4oAvc7vaR4Iql20HEJHem525EyQtIU5sM-vg3y8CeYk
"You uploaded a feed document on July 25, 2024 at 7:33 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4D1FAQG2uHKFPK38RA/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1721936036345?e=1767160800&v=beta&t=6hRJ9gKWJo-yCpBobYJe4ZGWgsrOwM3M1W43mHFLAL0
"You uploaded a feed document on July 25, 2024 at 7:32 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4D1FAQEd-tqyFgsrdw/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1721935953936?e=1767160800&v=beta&t=nheZuWPsepkIRsGJZ16-UNCo-5MIX7FHcSbrxm5PBeM
"You uploaded a feed document on July 25, 2024 at 2:51 PM (GMT)","Do you think you are done with your linear regression model? Not so fast...

Linear regression is a widely used statistical method for predicting a dependent variable based on one or more independent variables.

Even though it's a breeze to set up and run a linear regression model (in both R and Python), it's imperative to remember that the model's validity and reliability are contingent on meeting several key assumptions. 
 
Let's talk about them in this post ?",https://media.licdn.com/dms/document/media/v2/D4D1FAQG4QemkV05i9g/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1721919072359?e=1767160800&v=beta&t=fDC4asO8gFD7F3TjLc1k0m8HHIIiK8j2khoQWP3sATg
"You uploaded a feed document on March 24, 2024 at 4:30 AM (GMT)","Online #Python courses are everywhere, but to make them stick, you need to work on something you care about?like daily tasks or personal projects.

Here are some tips to start working with Python effectively and accomplish your tasks efficiently!",https://media.licdn.com/dms/document/media/v2/D4E1FAQG5fwxHbSALwQ/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1711254615720?e=1767160800&v=beta&t=wgncu6XpruDO_5xlcDgeZCo6ATzwYgllrYNYPyDQCFM
"You uploaded a feed document on February 21, 2024 at 5:50 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQGjnTuXoWnMOg/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1708537860105?e=1767160800&v=beta&t=GoxL89nxPscVX-xiPDd9zoU2-STHstgNTMNNjqg7x64
"You uploaded a feed document on February 20, 2024 at 5:44 PM (GMT)","?????? ????????? ??? ?????????

Python boasts a vast ecosystem of libraries, but some stand out as particularly useful for engineers. Here are a few of my favorite picks!

Check them out ?

(Click on the images to refer to their source)",https://media.licdn.com/dms/document/media/v2/D4D1FAQG0Atvcgg0FYw/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1708451086189?e=1767160800&v=beta&t=nVz-4fo8tuDQaEsNiHSft_w5UblA5zvWP8wuj3O2u5o
"You uploaded a feed document on February 14, 2024 at 11:42 PM (GMT)","Implementing a ""Well"" Class in Python?. Intro to Object-Oriented Programming (OOP).

You might have heard about OOP before. It is a great way to encapsulate, abstract, and represent real-world entities in code. 

Here, I use a well-known object for those working in the O&G industry (and other engineering fields) to introduce OOP.

Even though some scary concepts ? are related to this subject (inheritance, polymorphism, abstraction/interfaces, design patterns, etc..), let's try to forget that for a little while, and let's get our hands dirty by implementing this ""Well"" Class!!

It's always interesting to see the use cases you've given to OOP in your engineering code! Feel free to comment below ?",https://media.licdn.com/dms/document/media/v2/D4E1FAQGXIRkpiML1rg/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1707954175593?e=1767160800&v=beta&t=gcLtHBHi6-i7NijepNqHNlDmfhTLnNgNPLfDCya03Go
"You uploaded a feed document on February 7, 2024 at 3:32 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQEH5okOvd6Z_Q/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1707319977585?e=1767160800&v=beta&t=wkSzywxbHEilQ1Pgr_mhhybe2r9E1aSJ8QEGHyXe_QU
"You uploaded a feed document on February 7, 2024 at 3:18 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQGTZZSZs8sG9g/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1707319098451?e=1767160800&v=beta&t=RFsqXvmovNs3VwI7FMv97WwtdxrDUKt_XiAenibzH_o
"You uploaded a feed document on February 7, 2024 at 3:14 PM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQGLuQqnjJ4T9g/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1707318855069?e=1767160800&v=beta&t=xVuaHo10jkJPXbvZzGxNqWgEpNydPGqXUe13Fp2vc-M
"You uploaded a feed document on January 31, 2024 at 7:15 PM (GMT)","5 ?????? ???????? ????? ???????? ?????? ?????

We are all beginners at some point, and some early pitfalls might make us waste valuable time and?lead to disappointments in our programming journey. 

Below are some common mistakes that I have made when starting with #python ??????",https://media.licdn.com/dms/document/media/v2/D4D1FAQF2d-gS--Pbdw/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1706728524278?e=1767160800&v=beta&t=l92ZyQYq9-fwQnXZGizga3mZAJXVoSA_CYgOVVU9a8I
"You uploaded a feed document on January 17, 2024 at 6:13 PM (GMT)","? Working with derivatives, integrals, or differential equations?

Doing symbolic mathematics by hand is great when you are in college and still learning the fundamentals, but after a while, you might want to get some results quickly for your work, research or teaching!

Check out #SymPy, a powerful Python library for symbolic mathematics.

Here is an example using the diffusivity equation for flow in porous media ?.
 
Notebook link: https://lnkd.in/e_i2KZfq

Tip: Use it in a Jupyter Notebook to get the rendered Latex output ?",https://media.licdn.com/dms/document/media/v2/D4E1FAQFVmhyvRpe_vA/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1705515215780?e=1767160800&v=beta&t=vUUCi48SCKJXWcgZ4hOPW1yLrbgUbX79jFpV0xGcpRA
"You uploaded a feed document on January 16, 2024 at 5:18 AM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQGQectu6sAjnA/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1705382326745?e=1767160800&v=beta&t=qfpfwKhx8FqWlxCXlsn0kyqIn7AEyIHtfKh8OT6_FJw
"You uploaded a feed document on January 16, 2024 at 5:13 AM (GMT)", -,https://media.licdn.com/dms/document/media/v2/D4E1FAQEXoHxpHKLlhg/feedshare-document-url-metadata-scrapper-pdf/feedshare-document-url-metadata-scrapper-pdf/0/1705382013062?e=1767160800&v=beta&t=JltMqrt-jSMjmhBK4rOI5LUUb5nSLU445YBtYK2fCuw
